# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2619182023906779842_2019/7/20 9:6:45_36%_24,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_5%_12,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_53%_26,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_62%_29,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_7%_13,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_70%_33,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_80%_35,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_81%_40,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_86%_44,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_88%_52,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_94%_53,1,1,0,0.00
2619182023907344753_2019/7/19 20:8:56_1%_11,1,1,0,0.00
